,OptSeries,Side,Exits,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
113,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,67,68,6,40,-29,-42.64705882352941
114,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",6,68,69,6,40,-30,-43.47826086956522
115,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,63,64,5,75,10,15.625
116,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,64,65,5,75,9,13.846153846153847
117,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,65,66,5,75,8,12.121212121212121
118,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,66,67,5,75,7,10.447761194029852
119,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,67,68,5,75,6,8.823529411764707
120,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,68,69,5,75,5,7.246376811594203
121,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,69,70,5,75,4,5.714285714285714
122,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,70,71,5,75,3,4.225352112676056
123,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,71,72,5,75,2,2.7777777777777777
124,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,72,73,5,75,1,1.36986301369863
125,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,73,74,5,75,0,0.0
126,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",5,74,75,5,75,-1,-1.3333333333333333
127,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,64,65,4,75,9,13.846153846153847
128,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,65,66,4,75,8,12.121212121212121
129,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,66,67,4,75,7,10.447761194029852
130,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,67,68,4,75,6,8.823529411764707
131,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,68,69,4,75,5,7.246376811594203
132,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,69,70,4,75,4,5.714285714285714
133,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,70,71,4,75,3,4.225352112676056
134,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,71,72,4,75,2,2.7777777777777777
135,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,72,73,4,75,1,1.36986301369863
136,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,73,74,4,75,0,0.0
137,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 40)",4,74,75,4,75,-1,-1.3333333333333333
138,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",9,71,72,8,50,-23,-31.944444444444443
139,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",9,72,73,8,50,-24,-32.87671232876713
140,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",9,73,74,8,50,-25,-33.78378378378378
141,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",9,74,75,8,50,-26,-34.666666666666664
142,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,55,56,8,50,-7,-12.5
143,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,56,57,8,50,-8,-14.035087719298245
144,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,57,58,8,50,-9,-15.517241379310345
145,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,58,59,8,50,-10,-16.949152542372882
146,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,59,60,8,50,-11,-18.333333333333332
147,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,60,61,8,50,-12,-19.672131147540984
148,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,61,62,8,50,-13,-20.967741935483872
149,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",8,62,63,8,50,-14,-22.22222222222222
